Platform name, Total Gap Time, Average Gap Time, Min Value, Max Flight Time 
A,578:15:29:37,00:14:29:46,-1000,00:02:46:35
AA,489:01:01:18,30:13:33:49,-977,00:02:25:13
AAA,552:11:41:31,46:00:58:27,-813,00:02:41:59
AABA,444:15:14:08,44:11:07:24,-895,00:02:43:56
AADU,574:14:24:24,57:11:02:26,-890,00:02:33:33
AAHQ,560:15:21:43,93:10:33:37,-953,00:02:31:13
AAI,386:19:57:51,77:08:47:34,-247,00:02:40:12
AAJ,324:17:51:05,64:22:46:13,-95,00:02:03:39
AAL,473:17:15:19,59:05:09:24,-467,00:02:37:14
AAS,421:03:54:14,70:04:39:02,-423,00:02:45:25
AB,512:11:33:22,19:17:03:35,-962,00:02:45:53
ABBG,461:17:42:05,32:23:33:00,-824,00:02:46:02
ABCQ,460:17:00:52,41:21:10:59,-861,00:02:36:34
ABD,393:17:51:08,65:14:58:31,-489,00:02:35:24
ABF,369:13:21:05,36:22:56:06,-857,00:02:22:23
ABFF,396:09:24:37,30:11:48:02,-775,00:02:39:05
ABQG,461:02:54:25,41:22:04:56,-990,00:02:41:26
ABR,533:05:09:38,48:11:22:41,-967,00:02:00:01
ABSK,500:03:04:14,55:13:40:28,-1000,00:02:22:16
ABXR,470:03:28:22,42:17:46:12,-992,00:02:42:09
ABYS,462:14:41:27,35:14:03:11,-998,00:02:33:52
AC,547:17:57:31,32:05:17:30,-985,00:02:25:35
ACKK,563:16:45:16,46:23:23:46,-986,00:02:44:10
ACQQ,541:17:42:41,67:17:12:50,-754,00:02:40:48
ACUY,423:10:21:13,32:13:43:10,-896,00:02:22:31
ACWV,495:06:26:59,45:00:35:10,-944,00:02:26:00
AD,553:01:29:33,13:11:44:37,-969,00:02:40:55
ADAM,557:07:12:18,37:03:40:49,-998,00:02:33:39
ADE,496:16:59:16,70:22:59:53,-898,00:02:32:50
ADK,418:09:25:27,27:21:25:41,-913,00:02:40:23
ADO,318:07:05:23,35:08:47:15,-909,00:02:43:09
ADQ,558:02:28:46,50:17:40:47,-978,00:02:46:31
AE,516:00:59:16,16:15:30:56,-959,00:02:46:31
AEDI,478:15:22:32,36:19:38:39,-935,00:02:29:03
AEH,436:08:50:57,109:02:12:44,-388,00:01:55:49
AELN,365:17:22:41,40:15:15:51,-761,00:02:32:37
AEQ,517:13:30:28,39:19:30:02,-945,00:02:41:22
AEQJ,416:06:40:38,34:16:33:23,-933,00:02:32:10
AEU,465:12:15:17,51:17:21:41,-623,00:02:15:29
AEUM,460:06:07:06,46:00:36:42,-692,00:02:45:48
AEZ,323:23:40:34,53:23:56:45,-787,00:02:07:51
AF,561:12:50:13,19:08:43:06,-916,00:02:40:17
AFF,471:22:18:31,67:10:02:38,-853,00:02:36:42
AFGO,490:18:57:41,32:17:15:50,-572,00:02:30:16
AFHO,359:23:24:19,71:23:52:51,-239,00:02:35:17
AFL,328:15:25:26,54:18:34:14,-829,00:02:36:19
AFOC,457:14:22:27,57:04:47:48,-848,00:02:46:33
AFSW,562:02:10:31,56:05:01:03,-961,00:02:33:19
AG,569:13:22:21,18:23:38:44,-930,00:02:41:03
AGMO,444:12:48:24,44:10:52:50,-850,00:02:44:20
AGV,519:02:24:31,74:03:46:21,-916,00:02:41:04
AGY,435:18:58:11,43:13:53:49,-988,00:01:56:46
AH,578:04:36:11,10:16:58:26,-990,00:02:44:59
AHBF,555:13:09:55,69:10:38:44,-618,00:02:29:07
AHEZ,466:17:56:23,93:08:23:16,-757,00:02:41:38
AHQM,383:17:38:03,42:15:17:33,-617,00:02:35:18
AHS,399:12:59:27,24:23:18:42,-963,00:02:22:36
AHUJ,413:13:52:57,51:16:44:07,-904,00:02:37:24
AHW,503:16:36:15,83:22:46:02,-942,00:02:38:40
AHX,551:09:14:14,61:06:21:34,-706,00:02:17:06
AHXK,459:18:10:47,32:20:09:20,-971,00:02:26:26
AHYM,536:17:49:20,134:04:27:20,-741,00:02:05:09
AHZU,399:04:55:09,49:21:36:53,-918,00:02:22:26
AI,526:14:03:37,14:05:34:09,-992,00:02:45:29
AIBC,530:08:16:34,53:00:49:39,-995,00:02:44:56
AIM,523:20:49:02,47:14:59:00,-569,00:02:39:12
AINM,518:03:14:05,74:00:27:43,-818,00:02:17:43
AIQ,546:16:46:57,21:20:49:52,-938,00:02:40:02
AIR,500:15:23:38,35:18:14:32,-904,00:02:46:18
AISS,495:13:20:13,38:02:52:19,-847,00:02:43:55
AIV,391:23:13:30,55:23:53:21,-946,00:02:37:38
AIY,424:19:30:33,53:02:26:19,-985,00:02:25:01
AIZK,526:09:55:29,40:11:50:25,-851,00:02:18:42
AJ,527:11:19:23,10:08:13:19,-934,00:02:45:29
AJAH,445:21:04:16,74:07:30:42,-744,00:02:38:16
AJK,505:22:43:07,63:05:50:23,-859,00:02:37:28
AJQ,450:08:42:04,90:01:44:24,-745,00:02:02:27
AJUV,491:15:19:00,49:03:55:54,-957,00:02:34:46
AJV,371:14:12:57,61:22:22:09,-445,00:02:30:07
AJY,376:08:10:46,37:15:13:04,-776,00:02:34:06
