DUL,1544989038,1544997928,84,590
GTL,1544994100,1544998451,16,-230
IZED,1544996500,1544999395,69,-523
AH,1544998745,1545000181,96,-305
Q,1544997257,1545000217,33,784
KK,1545000692,1545001125,13,95
OPZ,1544999535,1545001269,66,284
K,1544993330,1545001945,71,-218
QP,1544997417,1545002310,24,-863
PB,1544993052,1545002829,67,-826
OHC,1545001047,1545003385,90,992
E,1544998361,1545003998,95,-862
M,1545001374,1545004478,60,588
J,1544998929,1545005249,6,-530
IUNB,1545001880,1545006173,58,-328
CI,1545006096,1545006720,26,125
ZJDR,1545003960,1545007650,4,-684
IZUB,1545005820,1545008560,66,196
VZZ,1544999620,1545008672,64,-246
KG,1544999882,1545008726,44,19
B,1545000354,1545009613,44,437
W,1545003180,1545009739,56,22
VNH,1545007217,1545010290,39,726
FCA,1545007672,1545010401,45,518
LTV,1545001189,1545010898,45,691
U,1545003073,1545010917,20,609
EMRE,1545005348,1545011580,74,-991
Y,1545002284,1545011584,32,387
K,1545004730,1545011838,15,-797
HC,1545007527,1545012643,78,-412
QUA,1545009043,1545013424,68,721
I,1545009619,1545014341,59,-75
CI,1545010130,1545014683,76,-840
I,1545010003,1545015610,39,90
QHA,1545006250,1545015791,75,701
OB,1545008369,1545016577,35,-986
E,1545017056,1545017084,90,-230
L,1545007877,1545017308,88,888
FAGK,1545014472,1545017840,85,-503
R,1545009115,1545018639,7,-464
I,1545017656,1545018883,24,-570
HQ,1545012856,1545019710,83,-67
KQ,1545018604,1545019806,59,-976
YSA,1545014657,1545020145,37,-137
YRB,1545014378,1545021129,45,-712
GWF,1545020992,1545021973,50,-431
TI,1545015296,1545022807,9,-808
UUI,1545015526,1545023192,69,-707
D,1545022592,1545023731,42,340
VHN,1545016635,1545024143,84,-378
E,1545018602,1545024393,64,318
BTMR,1545018183,1545024962,10,337
NU,1545023876,1545025691,54,743
VQBA,1545025675,1545026036,49,611
UK,1545018033,1545026608,23,220
SQ,1545024916,1545027478,77,679
V,1545025029,1545027571,20,-884
BA,1545026695,1545027825,43,-661
RI,1545021785,1545028532,3,504
CSLE,1545023193,1545028889,55,-540
A,1545026654,1545029264,4,518
RFBH,1545026132,1545029656,3,180
P,1545020935,1545029968,25,69
MIQR,1545020555,1545030443,49,53
PK,1545024560,1545030675,32,-664
OS,1545023221,1545031573,47,37
HAN,1545024785,1545031874,54,759
IPI,1545030546,1545032706,43,-191
WF,1545032755,1545033608,83,-772
G,1545030188,1545034411,49,-96
FXRF,1545033945,1545034780,3,-910
N,1545026133,1545035544,87,828
XW,1545027320,1545036101,51,757
EGEG,1545033113,1545036704,37,553
C,1545031411,1545036963,9,149
P,1545029339,1545037109,21,688
MNDC,1545034106,1545037584,3,803
A,1545030917,1545037801,50,-696
X,1545035231,1545038692,52,298
O,1545032955,1545038716,95,-281
YL,1545038661,1545039160,71,968
POAP,1545039951,1545039973,45,525
UA,1545033603,1545040960,3,745
AU,1545032611,1545041169,61,73
RKQ,1545033484,1545042084,22,565
ERV,1545042639,1545042996,43,-640
UPJ,1545035350,1545043566,84,-753
LMP,1545037622,1545043991,4,88
LGFJ,1545041781,1545044206,73,142
OAB,1545041156,1545044361,65,-261
PW,1545034842,1545044529,42,645
L,1545036816,1545045113,92,-185
Q,1545040191,1545045891,27,9
BF,1545037155,1545046056,90,-448
WJW,1545038450,1545046628,7,-984
UQQ,1545046063,1545047300,65,553
LR,1545044002,1545047892,7,990
IEAX,1545044464,1545048493,3,-363
KQ,1545042000,1545049089,63,-801
JH,1545039967,1545049734,23,121
SEH,1545045812,1545049999,37,31
TVQE,1545041292,1545050349,41,2
WKY,1545049003,1545050809,15,974
UVI,1545046124,1545051197,27,-171
FR,1545043285,1545051959,58,-472
UIL,1545050946,1545052822,96,-484
OQ,1545044599,1545053518,9,872
E,1545053507,1545053691,55,-235
QMYF,1545044459,1545054386,52,-626
TLRM,1545049225,1545054801,64,-505
WWIA,1545047877,1545054938,81,-697
Z,1545046978,1545055336,11,-485
LX,1545046074,1545055499,16,648
L,1545055144,1545056067,22,664
IGEL,1545046833,1545056437,88,351
CV,1545053749,1545057206,40,425
I,1545052067,1545057512,71,793
AW,1545057752,1545058502,93,716
F,1545049719,1545058839,29,268
D,1545051185,1545059592,70,502
MYAQ,1545056492,1545059915,81,138
DRJW,1545051908,1545060092,14,-122
YX,1545055743,1545060144,39,-169
S,1545058493,1545060762,26,-429
PY,1545059696,1545061255,36,-850
I,1545055000,1545061713,26,-800
SK,1545056157,1545062642,64,461
UNXS,1545056269,1545063605,15,812
WWIA,1545054437,1545063776,50,100
MZF,1545059489,1545064673,87,-616
BSOM,1545059343,1545065199,41,-389
RIPB,1545055514,1545065366,73,-543
S,1545060221,1545065872,5,-41
ZEI,1545058317,1545066275,66,793
RJ,1545066353,1545067159,35,848
WMX,1545061130,1545067718,80,-259
ED,1545060677,1545068657,7,-715
BKI,1545066630,1545069000,34,-516
CK,1545059999,1545069978,91,-253
DSOE,1545061655,1545070584,2,-657
PO,1545062131,1545070685,97,427
G,1545068765,1545071130,49,-937
PM,1545069851,1545071638,37,571
ZD,1545067306,1545072345,89,-906
SJ,1545067940,1545072511,42,89
DIXM,1545071768,1545073397,97,-862
SEP,1545067647,1545074063,63,-861
S,1545065935,1545074147,35,-860
VLDK,1545066754,1545074254,31,-373
ABYS,1545068726,1545075053,14,562
HTZL,1545065208,1545075155,97,-727
BSGA,1545071453,1545075799,43,-574
REU,1545073471,1545076081,42,-273
K,1545071507,1545076947,30,-111
WI,1545076271,1545077833,82,-880
YDGS,1545076749,1545078249,11,401
GWB,1545078195,1545078503,20,843
QN,1545072460,1545079175,50,872
XO,1545075934,1545079824,14,769
K,1545077349,1545080669,94,-896
XLQF,1545077548,1545080924,69,-454
A,1545080204,1545081870,91,-582
G,1545079088,1545082364,73,26
AB,1545081947,1545082616,50,596
SZ,1545082348,1545082811,36,496
D,1545083088,1545083308,94,-289
XFOA,1545081325,1545083392,6,447
FDFQ,1545080874,1545084308,92,322
DNX,1545077198,1545084813,29,-562
KN,1545078560,1545085135,62,906
ZT,1545077555,1545085914,15,-75
YG,1545076337,1545086123,93,-170
K,1545084815,1545087047,55,-746
BO,1545084608,1545087334,1,-863
BS,1545086781,1545088242,83,-642
TD,1545081099,1545088675,14,92
WD,1545085504,1545089515,99,807
DDHQ,1545089145,1545089763,59,883
M,1545086660,1545090700,51,796
WT,1545088908,1545090982,17,174
TEF,1545084533,1545091031,55,876
XJLY,1545091654,1545091663,96,-242
DBEN,1545083725,1545092114,39,758
JPFK,1545090305,1545092636,65,648
Q,1545086056,1545092861,7,667
AN,1545086958,1545093365,93,-32
WX,1545087632,1545093591,55,264
MC,1545085291,1545093781,6,-279
BXQ,1545093066,1545094028,22,185
YHSQ,1545094017,1545094126,62,950
TN,1545088602,1545094175,34,-593
KE,1545088708,1545094543,72,722
K,1545094894,1545095535,48,154
M,1545093527,1545096390,76,-215
FYUQ,1545095249,1545097063,29,-692
WPM,1545092518,1545097192,47,-899
URFY,1545097539,1545097685,96,-376
FS,1545095767,1545098353,35,888
TKO,1545097651,1545098959,19,-357
EV,1545092994,1545099142,63,-60
WGVK,1545097455,1545099954,24,-515
WVI,1545098144,1545100821,19,-864
BCCU,1545100621,1545101722,67,766
V,1545101672,1545102699,17,649
H,1545093921,1545103296,81,-450
Z,1545093927,1545103839,96,-48
PNY,1545096035,1545104353,1,-754
P,1545096782,1545104596,72,628
G,1545104241,1545104996,28,-229
SZ,1545100860,1545105492,31,553
AC,1545101115,1545105572,81,-968
HJ,1545102117,1545106447,95,-766
PTEF,1545104325,1545107323,70,-767
OGEB,1545106322,1545107392,54,436
SOS,1545103746,1545107588,36,880
VIO,1545101540,1545108109,43,-882
ECSW,1545101343,1545108188,19,552
YQ,1545108045,1545108257,98,585
XQOZ,1545100830,1545109067,60,717
ITP,1545105480,1545109168,17,-316
TZHZ,1545100369,1545109557,59,-50
PK,1545109348,1545110253,87,926
WOQ,1545110454,1545110471,89,-25
JQSU,1545109576,1545110662,93,-509
KQP,1545109508,1545110710,75,-145
A,1545103254,1545111082,50,862
FAJ,1545106304,1545111234,9,826
QGMZ,1545110436,1545111394,71,-457
QWCM,1545110866,1545112372,3,968
BFV,1545103924,1545113180,12,966
VUF,1545109790,1545114172,91,-265
G,1545112769,1545114441,16,968
WKY,1545109412,1545115354,93,-977
